"term","estimate","std.error","statistic","p.value","conf.low","conf.high","OR","CI_low","CI_high","gene","bonferroni_corrected"
"vga.A..LC1",17.3493747151707,882.7433959035,0.0196539275124379,0.98431944419118,-162.538896871846,NA,34256083.0832016,2.57189949940755e-71,NA,"94",1
"blaTEM.1161",17.3493747151705,882.74339590344,0.0196539275124391,0.984319444191179,-162.538896871834,NA,34256083.0831967,2.57189949943869e-71,NA,"118",1
"tet1",17.349374715134,882.743395885319,0.0196539275128012,0.98431944419089,-162.538896868177,NA,34256083.081946,2.57189950884214e-71,NA,"87",1
"vga.A.1",17.3493747151198,882.743395881035,0.0196539275128804,0.984319444190827,-162.538896867319,NA,34256083.081457,2.57189951105086e-71,NA,"107",1
"lnu.G.1",17.3493747151183,882.743395880552,0.0196539275128895,0.98431944419082,-162.538896867222,NA,34256083.0814072,2.57189951130027e-71,NA,"105",1
"tcrB1",17.349374715107,882.743395877199,0.0196539275129514,0.98431944419077,-162.53889686655,NA,34256083.0810199,2.57189951302815e-71,NA,"81",1
"hlgC1",13.8317009146742,906.942672406056,0.0152509098265049,0.987832006205851,-67.4116470727046,NA,1016322.13073068,5.29046274313217e-30,NA,"4",1
"hlgA1",13.8317009107666,906.942672947912,0.0152509098130847,0.987832006216558,-67.4116471251593,NA,1016322.12675932,5.2904624656228e-30,NA,"3",1
"icaC1",13.8295387571871,979.61004790286,0.0141173916976385,0.988736325270024,-80.0021774458398,NA,1014127.05613008,1.80092569723991e-35,NA,"9",1
"hlgB1",13.8273812432631,1073.10903793908,0.0128853459941208,0.989719265860193,-97.5236689972851,NA,1011941.42150221,4.42597238109372e-43,NA,"5",1
"aur1",12.823079978101,840.274178752622,0.0152605902958208,0.987824283207612,-96.7472779138575,NA,370674.640895724,9.62035421692997e-43,NA,"8",1
"tet.38.1",12.823079978101,840.274178752622,0.0152605902958208,0.987824283207612,-96.7472779138575,NA,370674.640895724,9.62035421692997e-43,NA,"12",1
"mepA1",12.823079978101,840.274178752622,0.0152605902958208,0.987824283207612,-96.7472779138575,NA,370674.640895724,9.62035421692997e-43,NA,"13",1
"fexA1",4.760034896549,0.807552674752356,5.89439555507473,3.76055365004862e-09,3.35032792086308,6.67658468739989,116.749999999999,28.5120818174306,793.60407231268,"78",4.6254809895598e-07
"lnu.B.1",4.53903037880218,1.11451015576922,4.07266847709377,4.64775576050955e-05,2.66752223084804,7.51199755031768,93.5999995618239,14.4042345719345,1829.86514217173,"73",0.00571673958542675
"lsa.E.1",4.53903037880218,1.11451015576922,4.07266847709377,4.64775576050955e-05,2.66752223084804,7.51199755031768,93.5999995618239,14.4042345719345,1829.86514217173,"74",0.00571673958542675
"spw1",4.53903037880218,1.11451015576922,4.07266847709377,4.64775576050955e-05,2.66752223084804,7.51199755031768,93.5999995618239,14.4042345719345,1829.86514217173,"75",0.00571673958542675
"tet.L.1",3.84374416014768,0.861474043146813,4.46182237378524,8.12655761906282e-06,2.25789438139681,5.82185855258408,46.699999788581,9.56293206497051,337.598916259243,"79",0.000999566587144727
